Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Year Change,Unit Description
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Sri Lanka,6,8,8,10,10,10,10,10,10,10,11,11,11,18,32,43,40,46,55,47,50,54,64,58,85,78,25,70,75,70,75,75,50,54,42,36,37,58,46,41,43,32,34,37,32,34,32,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Tanzania,462,300,448,509,528,760,844,627,951,599,909,908,"1,123",496,935,959,805,835,856,761,"1,060",959,"1,033",843,796,867,701,818,962,888,763,790,992,736,680,897,765,624,739,842,809,624,824,612,"1,070",610,915,740,"1,150",600,"1,050",565,"1,180",800,"1,150","1,100","1,050","1,150","1,200","1,200","1,125","1,200","1,200","1,350","1,400",50,(1000 60 KG BAGS)
Thailand,1,1,1,1,2,2,2,3,4,10,19,28,37,67,82,102,105,124,125,152,201,277,324,364,470,527,427,592,"1,025",800,785,"1,000","1,175","1,275","1,399","1,317","1,403","1,293",916,"1,273","1,692",715,732,827,884,"1,000",850,900,800,900,"1,000","1,000","1,000","1,000","1,000",700,800,700,650,700,600,650,700,750,700,-50,(1000 60 KG BAGS)
Togo,167,196,119,280,144,249,58,173,277,232,213,103,190,238,115,151,177,82,105,182,165,225,284,275,215,275,260,290,300,215,161,432,86,195,176,85,290,222,321,263,197,112,68,144,166,140,180,255,185,436,615,560,200,165,175,120,80,130,95,100,85,80,110,60,100,40,(1000 60 KG BAGS)
Trinidad and Tobago,38,28,59,62,56,41,45,73,44,34,57,54,46,31,65,42,60,41,39,37,46,44,23,30,30,35,31,10,20,15,15,15,15,16,18,18,18,20,17,16,14,16,16,16,15,15,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Uganda,"1,925","2,023","2,951","2,534","2,453","2,578","2,737","2,278","4,118","3,279","2,667","2,883","4,180","3,266","3,331","2,214","2,660","1,928","1,944","2,042","2,133","2,885","3,000","2,700","2,800","2,700","2,700","2,600","3,300","2,500","2,700","2,900","2,800","2,700","3,100","4,200","4,297","3,032","3,640","3,708","3,097","3,265","2,756","2,745","2,694","2,175","2,905","3,490","3,260","2,870","3,212","3,075","3,600","3,850","3,500","3,550","4,875","4,600","4,650","5,475","6,630","6,050","6,565","6,400","6,400",0,(1000 60 KG BAGS)
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
United States,277,316,380,278,344,272,264,279,231,176,283,199,226,246,184,202,158,213,169,211,236,229,267,221,245,200,284,230,257,239,229,229,225,228,237,236,270,232,163,185,183,163,163,186,140,161,152,136,125,53,53,46,42,51,45,40,33,32,54,39,33,38,40,50,50,0,(1000 60 KG BAGS)
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Venezuela,902,714,874,872,786,907,898,687,898,973,936,965,846,"1,083","1,060",923,656,"1,061","1,011","1,031","1,109","1,107",791,"1,025","1,213",960,"1,169","1,331","1,127","1,075",843,"1,350",750,920,920,"1,067",843,"1,380","1,250",880,"1,027","1,065",920,825,800,820,862,996,"1,000",725,625,700,730,700,460,500,530,575,585,550,480,500,500,500,500,0,(1000 60 KG BAGS)
Vietnam,76,66,66,60,66,76,86,66,66,66,56,51,56,56,60,54,93,91,84,140,77,77,83,69,206,314,454,579,922,985,"1,200","1,980","2,250","2,500","3,500","3,917","5,750","7,000","7,500","11,010","15,333","12,833","11,167","15,000","14,500","16,335","19,500","18,000","16,980","18,500","19,415","26,000","26,500","29,833","27,400","28,930","26,700","29,300","30,400","31,300","29,000","31,580","28,300","27,500","30,100","2,600",(1000 60 KG BAGS)
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,50,70,70,75,188,186,189,198,192,193,171,189,200,150,150,150,145,135,140,135,130,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Yemen (Sanaa),90,90,82,80,90,75,60,60,70,60,60,55,55,45,45,45,45,48,50,53,60,58,57,50,53,65,55,60,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Zambia,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,7,6,10,13,11,10,15,15,15,28,27,22,27,33,40,62,59,94,100,119,100,110,103,56,60,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Zimbabwe,0,0,0,1,1,1,2,2,7,11,15,21,27,33,49,77,77,71,77,68,94,82,117,147,180,188,200,250,175,225,208,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
